county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
hardin,56576,70164,13.459814223720546,18.46864479761998,1.0,144.0,16.0,9.0,9.0,1.767533936651584,254.52488687782807,11120.0,5.0,48.74923561151079,93.9546762589928,17.470773381294965,24.42635791366906,95.54158273381294
harris,4726177,70789,15.772336273074345,33.16698986804085,232.0,42028.0,4845.3,7.922469190919397,8.67397271582771,4.908830117873284,889.2599663533549,876839.0,57.0,67.36239537703044,93.41406279403698,19.28819791903084,26.630113869707507,91.28267016378881
harrison,69098,63427,16.338776606860318,22.19831844225408,2.0,215.0,41.5,5.75351213285,5.180722891566265,2.8944397811803526,311.1522764768879,31902.0,6.0,57.72356592063194,97.58944266817127,6.769863958372516,21.98881477519428,74.71600541169808
hartley,5369,78065,6.944444444444445,25.28311176760217,2.0,150.0,17.6,8.36842105265,8.522727272727272,37.25088470851183,2793.816353138387,357.0,2.0,66.93669467787116,95.2016806722689,10.413725490196079,45.14229691876751,65.76750700280112
haskell,5408,52786,15.038910505836576,20.161493817814787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,3.0,71.49432534678436,95.4720050441362,13.012862547288778,7.781588902900378,85.8625472887768
hays,245351,79990,12.925218677886738,40.363114507893066,11.0,1366.0,109.9,11.032782271727273,12.4294813466788,4.483372800599957,556.7533859654128,44792.0,8.0,42.5073584568673,93.3260693873906,20.019188694409713,25.004776402137875,92.9840019845297
hemphill,3371,67798,6.140878988561108,23.29796640141468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.0,1.0,48.5,95.5,8.5,34.7,100.0
henderson,82627,59778,14.759629593143533,19.050796420811302,1.0,175.0,19.4,9.0206185567,9.02061855670103,1.2102581480629817,211.7951759110218,10178.0,8.0,64.807015130674,94.05722145804677,17.08634309294557,39.384553901488665,97.7267659106804
hidalgo,873167,49371,27.69962399748097,20.12296584595425,20.0,1574.0,177.9,8.473287664234999,8.847667228780214,2.290512582358243,180.26334023159373,264491.0,21.0,84.24050345758458,93.34474518981743,22.90519185908027,31.30839111077286,95.82138323376078
hill,36138,60669,13.319106558543178,17.510072522159547,2.0,29.0,4.6,6.4423076923,6.304347826086957,5.534340583319497,80.24793845813271,6409.0,12.0,63.791964425027295,95.12939616164769,12.2447495709159,29.364355499527267,97.93479357075323
hockley,21495,53283,15.0708024275118,17.187270860830033,1.0,10.0,1.6,6.25,6.25,4.6522447080716445,46.52244708071645,4575.0,6.0,58.44485245901638,94.8495737704918,11.908546448087431,26.825770491803276,98.11584699453552
hood,62459,80013,8.870104163286499,31.651396352744253,1.0,1.0,3.9,0.2564102564,0.2564102564102564,1.6010502889895772,1.6010502889895772,9337.0,4.0,51.12746064046267,93.87504551783229,15.764549641212378,35.71469923598407,94.53593027009576
hopkins,37008,63766,13.398576023311437,21.596055954146458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6703.0,7.0,61.052782336267356,94.15100701178577,16.14706847680143,45.43852006564225,95.65836192749515
houston,22107,51043,17.609603340292278,14.775094987130776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3012.0,5.0,65.3227091633466,94.4148406374502,16.15265604249668,25.02065073041168,96.68957503320053
howard,34488,67243,14.500442086648984,13.81509924881447,2.0,87.0,14.4,5.972222222199999,6.041666666666666,5.799118533982835,252.2616562282533,5145.0,3.0,58.466647230320696,93.92106899902818,17.83113702623907,43.1877922717204,72.75895043731778
hudspeth,3329,35163,25.441116126384895,10.347903657448706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.0,3.0,82.77464539007092,95.36702127659575,8.792907801418439,31.3145390070922,100.0
hunt,101596,66885,12.242623216601816,21.33126658121441,1.0,223.0,21.4,10.420560748,10.420560747663552,0.9842907201070908,219.49683058388123,17025.0,10.0,65.59807342143905,93.5179618208517,19.846455212922173,23.333509544787074,96.1695859030837
hutchinson,20595,62211,10.360713585571457,15.605825386264508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3624.0,3.0,53.47455849889624,94.24906181015453,15.052814569536425,19.535347682119205,98.15929911699779
irion,1561,54708,7.431133888532991,18.367346938775512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,1.0,28.5,96.7,4.5,21.7,100.0
jack,8588,58861,14.499272390527848,15.545283341893512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1608.0,3.0,60.80242537313434,94.87817164179104,13.756343283582087,7.937873134328357,98.8875
jackson,15010,67176,11.960267585647678,13.033104682373994,1.0,20.0,5.0,4.0,4.0,6.662225183211192,133.24450366422386,3382.0,3.0,51.44725014784151,94.98988764044945,12.100236546422236,22.754878769958605,98.4053222945003
jasper,33032,48818,22.83861671469741,12.238544178908134,1.0,71.0,6.0,11.833333333,11.833333333333334,3.0273674013078224,214.9430854928554,5777.0,5.0,61.31087069413189,93.58687900294271,19.269759390687206,38.68151289596676,96.80017310022502
jeff davis,1992,38125,24.602767811378783,27.845777233782133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,713.0,2.0,48.12959326788219,94.01669004207572,13.4671809256662,11.225525946704067,95.46704067321178
